                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7171,                 6.6178,                 4.5002,                0.00016,                0.00771,                  8e-05,                  2e-05,                 4.7424,                 5.5348,                 4.1608,                 0.0006,                 0.0006,                 0.0006
                      2,                 4.6604,                 6.2545,                 4.4835,                0.00017,                0.00771,                  9e-05,                  1e-05,                 4.7435,                 5.5394,                  4.163,              0.0012997,              0.0012997,              0.0012997
                      3,                 4.5757,                 6.1262,                 4.3428,                0.00017,                0.00771,                  8e-05,                  2e-05,                 4.7432,                 5.5417,                 4.1645,              0.0019992,              0.0019992,              0.0019992
                      4,                 4.5451,                 5.8431,                 4.2964,                0.00017,                0.00771,                  9e-05,                  2e-05,                  4.741,                 5.5489,                 4.1665,              0.0026984,              0.0026984,              0.0026984
                      5,                 4.5912,                 5.9565,                 4.3237,                0.00016,                0.00771,                  8e-05,                  2e-05,                 4.7396,                 5.5591,                  4.169,              0.0033973,              0.0033973,              0.0033973
                      6,                 4.6029,                 5.9558,                 4.2362,                0.00017,                0.00771,                  9e-05,                  2e-05,                 4.7376,                 5.5644,                  4.172,              0.0040959,              0.0040959,              0.0040959
                      7,                 4.2394,                 5.5078,                 4.1937,                  8e-05,                0.00457,                  5e-05,                  1e-05,                 4.7339,                 5.5789,                  4.174,              0.0047943,              0.0047943,              0.0047943
                      8,                 4.0319,                 5.0623,                 3.9992,                  8e-05,                0.00457,                  5e-05,                  1e-05,                 4.7311,                 5.5955,                 4.1759,              0.0054924,              0.0054924,              0.0054924
                      9,                 3.9203,                 4.7818,                 3.8073,                  8e-05,                0.00457,                  5e-05,                  1e-05,                 4.7322,                 5.6188,                  4.178,              0.0061902,              0.0061902,              0.0061902
                     10,                 3.5381,                 4.2828,                 3.4706,                  9e-05,                0.00457,                  5e-05,                  1e-05,                 4.7325,                 5.6413,                 4.1766,              0.0068877,              0.0068877,              0.0068877
                     11,                 3.4556,                 3.8306,                 3.0113,                  8e-05,                0.00457,                  5e-05,                  1e-05,                 4.7278,                 5.5977,                 4.1748,               0.007585,               0.007585,               0.007585
                     12,                 3.3452,                 3.6089,                  2.981,                  8e-05,                0.00457,                  5e-05,                  2e-05,                 4.6273,                 5.5845,                  4.155,              0.0082819,              0.0082819,              0.0082819
                     13,                  3.185,                 3.5447,                 2.8054,                0.00202,                0.08924,                0.00848,                 0.0021,                 4.0194,                 5.1894,                 3.8476,              0.0089786,              0.0089786,              0.0089786
                     14,                 3.0479,                 3.2318,                 2.5932,                0.00249,                0.12045,                0.01292,                0.00369,                 3.8277,                  5.015,                 3.6172,               0.009675,               0.009675,               0.009675
                     15,                 2.9898,                 3.1126,                 2.4915,                0.04292,                0.08782,                0.02471,                0.00715,                 3.4075,                 4.1851,                 2.9428,              0.0099723,              0.0099723,              0.0099723
                     16,                 2.9655,                 3.1425,                 2.4232,                0.40441,                  0.203,                0.06849,                0.02005,                   3.04,                 3.5675,                 2.5778,              0.0099723,              0.0099723,              0.0099723
                     17,                 2.8265,                  2.982,                 2.2637,                0.42942,                0.11006,                0.10098,                0.02984,                  2.906,                 3.3514,                 2.5478,              0.0099703,              0.0099703,              0.0099703
                     18,                  2.676,                  2.747,                 2.2105,                0.54601,                0.11926,                0.09211,                0.02889,                 2.7078,                 3.2138,                 2.2872,              0.0099683,              0.0099683,              0.0099683
                     19,                 2.7486,                 2.5896,                 2.1397,                0.25464,                0.34248,                0.21198,                0.06927,                  2.522,                 2.4638,                 2.0917,              0.0099663,              0.0099663,              0.0099663
                     20,                 2.5975,                 2.3967,                 1.9855,                0.25429,                0.47667,                0.27237,                0.08968,                 2.5207,                 2.9926,                 2.0562,              0.0099644,              0.0099644,              0.0099644
                     21,                 2.5665,                 2.2683,                 1.9994,                0.17709,                0.34786,                0.16153,                 0.0497,                 2.5969,                  3.644,                 2.1995,              0.0099624,              0.0099624,              0.0099624
                     22,                 2.4918,                 2.3389,                 1.9554,                0.17912,                0.23528,                 0.1375,                0.05053,                 2.7362,                 3.8361,                 2.2472,              0.0099604,              0.0099604,              0.0099604
                     23,                 2.4699,                 2.1471,                 1.8905,                0.28637,                0.37764,                0.25031,                0.09104,                 2.4333,                 2.6071,                 1.9583,              0.0099584,              0.0099584,              0.0099584
                     24,                 2.4909,                 2.2085,                 1.8716,                0.58861,                0.31871,                0.29423,                0.11161,                 2.3489,                 4.9919,                 1.9187,              0.0099564,              0.0099564,              0.0099564
                     25,                 2.3804,                 2.0484,                 1.7723,                0.33699,                 0.4174,                0.27093,                0.08337,                 2.5315,                 7.7903,                 2.0783,              0.0099545,              0.0099545,              0.0099545
                     26,                 2.4001,                 2.0186,                 1.8493,                0.28695,                0.53591,                0.38009,                0.14889,                 2.2718,                 9.2864,                 1.8878,              0.0099525,              0.0099525,              0.0099525
                     27,                 2.3452,                 1.9067,                 1.7057,                0.39433,                0.46963,                0.44315,                0.18196,                 2.1789,                 6.1051,                 1.8121,              0.0099505,              0.0099505,              0.0099505
                     28,                 2.3579,                 1.8698,                 1.7486,                0.42391,                0.42143,                0.38792,                0.13876,                 2.3183,                 5.1641,                 1.8315,              0.0099485,              0.0099485,              0.0099485
                     29,                 2.2961,                 1.8296,                 1.7155,                 0.4749,                0.45405,                0.46293,                0.19845,                 2.1944,                 3.4414,                 1.7194,              0.0099465,              0.0099465,              0.0099465
                     30,                  2.279,                 1.8659,                  1.721,                0.56546,                 0.5673,                0.57134,                 0.2472,                 2.1027,                 2.8527,                 1.6691,              0.0099446,              0.0099446,              0.0099446
                     31,                 2.2011,                 1.7748,                 1.6534,                0.64817,                0.48992,                0.52179,                0.21892,                 2.1027,                 2.9782,                 1.6422,              0.0099426,              0.0099426,              0.0099426
                     32,                 2.2327,                 1.7188,                 1.6668,                 0.5703,                0.47196,                0.51606,                0.19988,                 2.1767,                 2.9127,                 1.7094,              0.0099406,              0.0099406,              0.0099406
                     33,                 2.2325,                 1.7052,                 1.6666,                0.58687,                0.59715,                0.58523,                0.25566,                 2.0309,                 2.2363,                 1.6191,              0.0099386,              0.0099386,              0.0099386
                     34,                 2.1827,                 1.6837,                 1.6005,                0.53112,                0.60247,                0.56611,                0.25746,                 2.0055,                 2.5764,                 1.6261,              0.0099366,              0.0099366,              0.0099366
                     35,                 2.1649,                 1.6005,                 1.6023,                0.61906,                0.54281,                0.60035,                0.28004,                 1.9763,                 3.4205,                 1.5869,              0.0099347,              0.0099347,              0.0099347
                     36,                 2.1157,                 1.5836,                 1.5627,                0.53858,                0.56004,                0.60956,                0.27551,                 2.0831,                 1.8079,                 1.6367,              0.0099327,              0.0099327,              0.0099327
                     37,                 2.0953,                 1.5263,                 1.5327,                0.54749,                0.60358,                0.54061,                0.21565,                 2.0739,                 2.3991,                 1.6049,              0.0099307,              0.0099307,              0.0099307
                     38,                 2.0744,                 1.5078,                 1.5413,                0.73202,                0.50438,                0.60416,                0.26002,                 2.0696,                   1.84,                 1.6021,              0.0099287,              0.0099287,              0.0099287
                     39,                 2.1181,                 1.5295,                 1.5533,                0.59601,                0.62591,                0.63881,                 0.3011,                 2.0127,                 1.5413,                   1.57,              0.0099267,              0.0099267,              0.0099267
                     40,                 2.0951,                  1.484,                 1.5418,                0.60441,                0.54686,                0.54476,                0.25017,                 2.0632,                 1.7378,                  1.598,              0.0099248,              0.0099248,              0.0099248
                     41,                 2.1228,                 1.5312,                 1.5791,                0.62968,                 0.5616,                0.60168,                0.25541,                  1.961,                 1.6543,                 1.5528,              0.0099228,              0.0099228,              0.0099228
                     42,                 2.0917,                 1.5071,                 1.5503,                0.61927,                0.45698,                0.53453,                0.21897,                 2.1088,                 1.7259,                 1.6449,              0.0099208,              0.0099208,              0.0099208
                     43,                 2.0099,                 1.4373,                 1.5163,                0.60799,                 0.6262,                0.62776,                0.29244,                 1.9915,                 1.5322,                 1.5525,              0.0099188,              0.0099188,              0.0099188
                     44,                 2.0217,                  1.363,                 1.4846,                0.67065,                0.60178,                0.68993,                0.29142,                 2.0455,                 1.4949,                 1.5685,              0.0099168,              0.0099168,              0.0099168
                     45,                 2.1038,                 1.4633,                 1.5247,                0.72917,                0.69481,                0.72537,                0.32377,                 1.9604,                 1.4248,                 1.5267,              0.0099149,              0.0099149,              0.0099149
                     46,                 1.9735,                  1.358,                 1.4704,                0.65528,                0.47146,                0.59177,                0.27007,                 2.0015,                 2.3074,                 1.5968,              0.0099129,              0.0099129,              0.0099129
